"subject","rt","acc","Modality","Image_Type","Valence","Arousal","condition","Condition","rt_z","outlier_flag","acc_label"
"S004",0.717864600010216,1,"Image","Gay","","","Congruent","Congruent",-0.363527600953803,FALSE,"Correct"
"S004",0.868167800013907,1,"Text","","Positive","High","Congruent","Congruent",0.7258737080167,FALSE,"Correct"
"S004",0.833862700033933,1,"Text","","Negative","Low","Congruent","Congruent",0.477229495374319,FALSE,"Correct"
"S004",0.652049600030296,1,"Image","Straight","","","Congruent","Congruent",-0.840556347688793,FALSE,"Correct"
"S004",0.917853699997068,1,"Text","","Positive","Low","Congruent","Congruent",1.08599833928006,FALSE,"Correct"
"S004",0.817317600012757,1,"Text","","Negative","High","Congruent","Congruent",0.357310201442624,FALSE,"Correct"
"S004",0.718650999944657,1,"Image","Straight","","","Congruent","Congruent",-0.357827754789961,FALSE,"Correct"
"S004",0.765898899990134,1,"Text","","Negative","High","Congruent","Congruent",-0.0153738073398339,FALSE,"Correct"
"S004",0.651321000070311,1,"Image","Gay","","","Congruent","Congruent",-0.845837258209017,FALSE,"Correct"
"S004",0.935137300053611,1,"Text","","Positive","Low","Congruent","Congruent",1.21127029972308,FALSE,"Correct"
"S004",0.818572200019844,1,"Text","","Negative","Low","Congruent","Congruent",0.366403573306439,FALSE,"Correct"
"S004",0.701548399985768,1,"Text","","Positive","Mid","Congruent","Congruent",-0.481787822051039,FALSE,"Correct"
"S004",0.734320500050671,1,"Text","","Negative","Mid","Congruent","Congruent",-0.244254830687306,FALSE,"Correct"
"S004",0.750269899959676,1,"Image","Straight","","","Congruent","Congruent",-0.128653185893736,FALSE,"Correct"
"S004",0.502070699934848,1,"Image","Gay","","","Congruent","Congruent",-1.92760712290798,FALSE,"Correct"
"S004",0.967991500045173,0,"Text","","Positive","High","Congruent","Congruent",1.44939835338466,FALSE,"Error"
"S004",0.66744099999778,1,"Image","Gay","","","Congruent","Congruent",-0.728999100264559,FALSE,"Correct"
"S004",0.701155100017786,1,"Text","","Positive","Low","Congruent","Congruent",-0.484638469940951,FALSE,"Correct"
"S004",0.668276499956846,1,"Image","Gay","","","Congruent","Congruent",-0.722943375908527,FALSE,"Correct"
"S004",0.702679600100964,1,"Image","Straight","","","Congruent","Congruent",-0.473588855653968,FALSE,"Correct"
"S004",0.966829999932088,1,"Text","","Negative","Mid","Congruent","Congruent",1.4409797718539,FALSE,"Correct"
"S004",0.651579099940136,1,"Image","Gay","","","Congruent","Congruent",-0.843966543972557,FALSE,"Correct"
"S004",0.500995400012471,1,"Image","Straight","","","Congruent","Congruent",-1.9354009233257,FALSE,"Correct"
"S004",0.652676199912094,1,"Image","Straight","","","Congruent","Congruent",-0.836014736256602,FALSE,"Correct"
"S004",0.568969700019807,1,"Image","Straight","","","Congruent","Congruent",-1.44272151661628,FALSE,"Correct"
