subject,phase,trial_global,block_type,condition,event,rt,acc,issue,detail
S001,1.0,56,正式,Congruent,,,0.0,missing_rt,rt 缺失
S001,2.0,75,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S001,2.0,87,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S002,2.0,61,練習,Incongruent,,,0.0,missing_rt,rt 缺失
S002,2.0,71,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S002,2.0,119,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S003,1.0,3,練習,Congruent,,,0.0,missing_rt,rt 缺失
S003,1.0,6,練習,Congruent,,,0.0,missing_rt,rt 缺失
S003,2.0,75,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S004,2.0,111,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,1.0,7,練習,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,8,練習,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,15,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,19,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,29,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,30,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,34,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,35,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,38,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,39,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,40,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,42,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,45,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,48,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,49,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,50,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,52,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,53,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,54,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,55,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,57,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,1.0,59,正式,Congruent,,,0.0,missing_rt,rt 缺失
S005,2.0,72,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,73,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,78,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,79,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,90,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,101,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,109,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,110,正式,Incongruent,,,0.0,missing_rt,rt 缺失
S005,2.0,118,正式,Incongruent,,,0.0,missing_rt,rt 缺失
