subject,phase,trial_global,block_type_raw,condition_raw,resp_raw,acc_raw,onset_abs_raw,keypress_abs_raw,rt_raw,block_type_proc,condition_proc,acc_proc,rt_proc,_merge,diff_ms,mismatch_reason
S001,1.0,1,練習,Congruent,b,1.0,16.07149629999185,16.821976399980485,0.7504800999886356,練習,Congruent,1.0,0.7504800999886356,both,0.0,
S001,1.0,2,練習,Congruent,b,1.0,22.0727065000101,22.891472699993756,0.8187661999836564,練習,Congruent,1.0,0.8187661999836564,both,0.0,
S001,1.0,3,練習,Congruent,b,0.0,28.074427800020203,28.67511630000081,0.6006884999806061,練習,Congruent,0.0,0.6006884999806061,both,0.0,
S001,1.0,4,練習,Congruent,y,1.0,34.06072810001206,34.928602600004524,0.8678744999924675,練習,Congruent,1.0,0.8678744999924675,both,0.0,
S001,1.0,5,練習,Congruent,b,1.0,40.061626699985936,40.79588079999667,0.7342541000107303,練習,Congruent,1.0,0.7342541000107303,both,0.0,
S001,1.0,6,練習,Congruent,y,1.0,46.06252839998342,46.849522200005595,0.7869938000221737,練習,Congruent,1.0,0.7869938000221737,both,0.0,
S001,1.0,7,練習,Congruent,b,1.0,52.06506350002019,52.68176720000338,0.6167036999831907,練習,Congruent,1.0,0.6167036999831907,both,0.0,
S001,1.0,8,練習,Congruent,y,1.0,58.0655327999848,58.78330379998079,0.7177709999959916,練習,Congruent,1.0,0.7177709999959916,both,0.0,
S001,1.0,9,練習,Congruent,b,1.0,64.06733410002198,64.88500870001735,0.817674599995371,練習,Congruent,1.0,0.817674599995371,both,0.0,
S001,1.0,10,練習,Congruent,y,1.0,70.06912820000434,70.73655739997048,0.6674291999661364,練習,Congruent,1.0,0.6674291999661364,both,0.0,
S001,1.0,11,正式,Congruent,b,1.0,86.12313079996966,86.8587837999803,0.7356530000106432,正式,Congruent,1.0,0.7356530000106432,both,0.0,
S001,1.0,12,正式,Congruent,b,1.0,92.12451729999157,92.87605889997212,0.7515415999805555,正式,Congruent,1.0,0.7515415999805555,both,0.0,
S001,1.0,13,正式,Congruent,y,1.0,98.12637419998646,98.87931899999967,0.7529448000132106,正式,Congruent,1.0,0.7529448000132106,both,0.0,
S001,1.0,14,正式,Congruent,y,1.0,104.11157349997666,105.0472622999805,0.9356888000038452,正式,Congruent,1.0,0.9356888000038452,both,0.0,
S001,1.0,15,正式,Congruent,y,1.0,110.11245989997406,110.89680170000065,0.7843418000265956,正式,Congruent,1.0,0.7843418000265956,both,0.0,
S001,1.0,16,正式,Congruent,y,1.0,116.11549649998778,116.73290080000879,0.6174043000210077,正式,Congruent,1.0,0.6174043000210077,both,0.0,
S001,1.0,17,正式,Congruent,y,1.0,122.1155772000202,122.76868149999063,0.6531042999704368,正式,Congruent,1.0,0.6531042999704368,both,0.0,
S001,1.0,18,正式,Congruent,b,1.0,128.11786240001675,128.85377169999992,0.7359092999831773,正式,Congruent,1.0,0.7359092999831773,both,0.0,
S001,1.0,19,正式,Congruent,b,1.0,134.11880769999698,134.80486520001432,0.6860575000173412,正式,Congruent,1.0,0.6860575000173412,both,0.0,
S001,1.0,20,正式,Congruent,b,1.0,140.12063919997308,140.73920529999305,0.6185661000199616,正式,Congruent,1.0,0.6185661000199616,both,0.0,
S001,1.0,21,正式,Congruent,y,1.0,156.12505470000906,156.86068019998493,0.7356254999758676,正式,Congruent,1.0,0.7356254999758676,both,0.0,
S001,1.0,22,正式,Congruent,b,1.0,162.1107918000198,162.82999910000945,0.7192072999896482,正式,Congruent,1.0,0.7192072999896482,both,0.0,
S001,1.0,23,正式,Congruent,b,1.0,168.11262739996891,168.99657040002057,0.8839430000516586,正式,Congruent,1.0,0.8839430000516586,both,0.0,
S001,1.0,24,正式,Congruent,b,1.0,174.11310389998835,174.79937540000537,0.6862715000170283,正式,Congruent,1.0,0.6862715000170283,both,0.0,
S001,1.0,25,正式,Congruent,y,1.0,180.11564169998746,180.83396020001965,0.7183185000321828,正式,Congruent,1.0,0.7183185000321828,both,0.0,
S001,1.0,26,正式,Congruent,b,0.0,186.1166262999759,186.95165790000465,0.8350316000287421,正式,Congruent,0.0,0.8350316000287421,both,0.0,
S001,1.0,27,正式,Congruent,b,1.0,192.117726699973,192.9041770999902,0.7864504000172019,正式,Congruent,1.0,0.7864504000172019,both,0.0,
S001,1.0,28,正式,Congruent,b,1.0,198.11923110001956,198.87218609999402,0.7529549999744631,正式,Congruent,1.0,0.7529549999744631,both,0.0,
S001,1.0,29,正式,Congruent,y,1.0,204.12111750000625,204.87275139999113,0.7516338999848813,正式,Congruent,1.0,0.7516338999848813,both,0.0,
S001,1.0,30,正式,Congruent,b,1.0,210.12331759999503,210.8759002999868,0.7525826999917626,正式,Congruent,1.0,0.7525826999917626,both,0.0,
S001,1.0,31,正式,Congruent,b,1.0,226.1116680999985,226.79435360000934,0.682685500010848,正式,Congruent,1.0,0.682685500010848,both,0.0,
S001,1.0,32,正式,Congruent,y,1.0,232.11354350001784,233.0306742999819,0.9171307999640704,正式,Congruent,1.0,0.9171307999640704,both,0.0,
S001,1.0,33,正式,Congruent,y,1.0,238.11377340002215,238.86581260000818,0.7520391999860294,正式,Congruent,1.0,0.7520391999860294,both,0.0,
