subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S004,1,Run Start,0,0,Congruent,Run 1 開始,,,,,,EVENT,,1763877777.2181308,0.00,0.00,-,,
S004,1,練習,0,0,Congruent,Run1練習開始,,,,,,EVENT,,1763877857.5060418,14.00,14.00,-,,
S004,1,練習,1,1,Congruent,,高 負向 文字,驚慌,b,0.7504800999886356,1,None,b:0.750,16.07149629999185,20.07,20.07,-,16.06063650001306,0.011935299960896373
S004,1,練習,2,2,Congruent,,低 負向 文字,虛弱,b,0.8187661999836564,1,None,b:0.819,22.0727065000101,26.07,26.07,-,22.06063650001306,0.012948699994012713
S004,1,練習,3,3,Congruent,,高 正向 文字,警覺,b,0.6006884999806061,0,Wrong,b:0.601,28.074427800020203,32.08,32.08,-,28.06063650001306,0.014863599964883178
S004,1,練習,4,4,Congruent,,Straight 圖片,Gemini_Generated_Image_m8js26m8js26m8js (1).png,y,0.8678744999924675,1,None,y:0.868,34.06072810001206,38.06,38.06,-,34.06063650001306,0.00028390000807121396
S004,1,練習,5,5,Congruent,,Gay 圖片,Gemini_Generated_Image_bmcam5bmcam5bmca (2).png,b,0.7342541000107303,1,None,b:0.734,40.061626699985936,44.06,44.06,-,40.06063650001306,0.0009190999553538859
S004,1,練習,6,6,Congruent,,Straight 圖片,Gemini_Generated_Image_xnkfcyxnkfcyxnkf.png,y,0.7869938000221737,1,None,y:0.787,46.06252839998342,50.06,50.06,-,46.06063650001306,0.0033393999910913408
S004,1,練習,7,7,Congruent,,中 負向 文字,冷漠,b,0.6167036999831907,1,None,b:0.617,52.06506350002019,56.07,56.07,-,52.06063650001306,0.004988199973013252
S004,1,練習,8,8,Congruent,,Straight 圖片,Gemini_Generated_Image_8jcutu8jcutu8jcu (1).png,y,0.7177709999959916,1,None,y:0.718,58.065532799984794,62.07,62.07,-,58.06063650001306,0.0061579999746754766
S004,1,練習,9,9,Congruent,,Gay 圖片,Gemini_Generated_Image_oqaxgcoqaxgcoqax.png,b,0.817674599995371,1,None,b:0.818,64.06733410002198,68.07,68.07,-,64.06063650001306,0.007612899993546307
S004,1,練習,10,10,Congruent,,中 正向 文字,高興,y,0.6674291999661364,1,None,y:0.667,70.06912820000434,74.07,74.07,-,70.06063650001306,0.009568799985572696
S004,1,練習,10,0,Congruent,Run1練習結束,,,,,,EVENT,,1763877917.5739639,74.07,74.07,-,,
S004,1,預備開始,10,0,Congruent,Run 1 預備開始開始,,,,,,EVENT,,1763877917.5750344,74.07,74.07,-,,
S004,1,預備開始,10,0,Congruent,Run 1 預備開始結束,,,,,,EVENT,,1763877927.575968,84.07,84.07,-,,
S004,1,正式,10,0,Congruent,Run1正式開始,,,,,,EVENT,,1763877927.576971,84.07,84.07,-,,
S004,1,正式,11,1,Congruent,,高 負向 文字,敵意,b,0.7356530000106432,1,None,b:0.736,86.12313079996966,90.12,90.12,-,86.11023960000603,0.013997900008689612
S004,1,正式,12,2,Congruent,,Gay 圖片,Gemini_Generated_Image_nwdpz1nwdpz1nwdp.png,b,0.7515415999805555,1,None,b:0.752,92.12451729999157,96.13,96.13,-,92.11023960000603,0.01543379999930039
S004,1,正式,13,3,Congruent,,Straight 圖片,Gemini_Generated_Image_22gggh22gggh22gg (1).png,y,0.7529448000132106,1,None,y:0.753,98.12637419998646,102.11,102.11,-,98.11023960000603,0.0007906999671831727
S004,1,正式,14,4,Congruent,,高 正向 文字,大膽,y,0.9356888000038452,1,None,y:0.936,104.11157349997666,108.11,108.11,-,104.11023960000603,0.002162699995096773
S004,1,正式,15,5,Congruent,,中 正向 文字,感激,y,0.7843418000265956,1,None,y:0.784,110.11245989997406,114.11,114.11,-,110.11023960000603,0.0033719000057317317
S004,1,正式,16,6,Congruent,,高 正向 文字,欣喜,y,0.6174043000210077,1,None,y:0.617,116.11549649998778,120.12,120.12,-,116.11023960000603,0.005208399961702526
S004,1,正式,17,7,Congruent,,Straight 圖片,Gemini_Generated_Image_8zpygh8zpygh8zpy (1).png,y,0.6531042999704368,1,None,y:0.653,122.1155772000202,126.12,126.12,-,122.11023960000603,0.007023699989076704
S004,1,正式,18,8,Congruent,,Gay 圖片,Gemini_Generated_Image_jpalswjpalswjpal.png,b,0.7359092999831773,1,None,b:0.736,128.11786240001675,132.12,132.12,-,128.11023960000603,0.008727699983865023
S004,1,正式,19,9,Congruent,,高 負向 文字,震怒,b,0.6860575000173412,1,None,b:0.686,134.11880769999698,138.12,138.12,-,134.11023960000603,0.009946400008630008
S004,1,正式,20,10,Congruent,,中 負向 文字,冷漠,b,0.6185661000199616,1,None,b:0.619,140.12063919997308,144.12,144.12,-,140.11023960000603,0.01152840000577271
S004,1,正式,21,11,Congruent,,Straight 圖片,Gemini_Generated_Image_t8lai7t8lai7t8la (3).png,y,0.7356254999758676,1,None,y:0.736,156.12505470000906,160.13,160.13,-,156.11023960000603,0.015936399984639138
S004,1,正式,22,12,Congruent,,低 負向 文字,絕望,b,0.7192072999896482,1,None,b:0.719,162.1107918000198,166.11,166.11,-,162.11023960000603,0.0021386999869719148
S004,1,正式,23,13,Congruent,,低 負向 文字,想睡,b,0.8839430000516586,1,None,b:0.884,168.11262739996891,172.11,172.11,-,168.11023960000603,0.004042699991259724
S004,1,正式,24,14,Congruent,,低 負向 文字,悲慘,b,0.6862715000170283,1,None,b:0.686,174.11310389998835,178.12,178.12,-,174.11023960000603,0.004376699973363429
S004,1,正式,25,15,Congruent,,Straight 圖片,Gemini_Generated_Image_pz4orypz4orypz4o (4).png,y,0.7183185000321828,1,None,y:0.718,180.11564169998746,184.12,184.12,-,180.11023960000603,0.0052331999759189785
S004,1,正式,26,16,Congruent,,低 正向 文字,禪定,b,0.8350316000287421,0,Wrong,b:0.835,186.1166262999759,190.12,190.12,-,186.11023960000603,0.007031199987977743
S004,1,正式,27,17,Congruent,,中 負向 文字,受辱,b,0.7864504000172019,1,None,b:0.786,192.117726699973,196.12,196.12,-,192.11023960000603,0.008650299976579845
S004,1,正式,28,18,Congruent,,Gay 圖片,"ChatGPT Image Nov 16, 2025 at 09_08_59 PM.png",b,0.7529549999744631,1,None,b:0.753,198.11923110001953,202.12,202.12,-,198.11023960000603,0.010589800018351525
