Subject,Condition 1,Reaction Time,Condition 2,Reaction Time
S001,Congruent,0.7504801,Incongruent,0.8517637
S001,Congruent,0.8187662,Incongruent,0.7683628
S001,Congruent,0.6006885,Incongruent,0.8513431
S001,Congruent,0.8678745,Incongruent,1.2185361
S001,Congruent,0.7342541,Incongruent,1.0180183
S001,Congruent,0.7869938,Incongruent,0.9008416
S001,Congruent,0.6167037,Incongruent,1.2186642
S001,Congruent,0.717771,Incongruent,1.2011471
S001,Congruent,0.8176746,Incongruent,0.8682629
S001,Congruent,0.6674292,Incongruent,0.8846974
S001,Congruent,0.735653,Incongruent,0.8341437
S001,Congruent,0.7515416,Incongruent,1.4502846
S001,Congruent,0.7529448,Incongruent,0.6666994
S001,Congruent,0.9356888,Incongruent,0.7989655
S001,Congruent,0.7843418,Incongruent,nan
S001,Congruent,0.6174043,Incongruent,0.9027189
S001,Congruent,0.6531043,Incongruent,1.251828
S001,Congruent,0.7359093,Incongruent,0.8023521
S001,Congruent,0.6860575,Incongruent,0.953011
S001,Congruent,0.6185661,Incongruent,0.7856959
S001,Congruent,0.7356255,Incongruent,1.0510467
S001,Congruent,0.7192073,Incongruent,1.0687686
S001,Congruent,0.883943,Incongruent,0.8179835
S001,Congruent,0.6862715,Incongruent,0.9854231
S001,Congruent,0.7183185,Incongruent,0.7517047
S001,Congruent,0.8350316,Incongruent,1.1361777
S001,Congruent,0.7864504,Incongruent,nan
S001,Congruent,0.752955,Incongruent,1.268837
S001,Congruent,0.7516339,Incongruent,1.0521796
S001,Congruent,0.7525827,Incongruent,1.167236
S001,Congruent,0.6826855,Incongruent,1.1356862
S001,Congruent,0.9171308,Incongruent,0.7339057
S001,Congruent,0.7520392,Incongruent,1.2347124
S001,Congruent,0.7834698,Incongruent,0.7343192
S001,Congruent,0.6693023,Incongruent,1.0513483
S001,Congruent,0.7024992,Incongruent,0.9679083
S001,Congruent,0.7353079,Incongruent,1.2178596
S001,Congruent,0.7861932,Incongruent,1.2175141
S001,Congruent,0.6191969,Incongruent,0.885637
S001,Congruent,0.7856587,Incongruent,0.9675449
S001,Congruent,0.8030954,Incongruent,0.96807
S001,Congruent,0.9175728,Incongruent,1.2022837
S001,Congruent,1.1527952,Incongruent,1.1023073
S001,Congruent,0.7676381,Incongruent,1.284506
S001,Congruent,0.6846178,Incongruent,1.3017496
S001,Congruent,0.7696014,Incongruent,1.26964
S001,Congruent,0.7357301,Incongruent,0.7343225
S001,Congruent,1.0526426,Incongruent,0.8357606
S001,Congruent,0.8519487,Incongruent,0.7834864
S001,Congruent,0.7682491,Incongruent,0.7193487
S001,Congruent,0.7684789,Incongruent,1.3849172
S001,Congruent,0.8028473,Incongruent,1.0187007
S001,Congruent,0.9181257,Incongruent,1.2852559
S001,Congruent,0.7030962,Incongruent,1.0017783
S001,Congruent,1.1852069,Incongruent,1.3684395
S001,Congruent,nan,Incongruent,0.9016377
S001,Congruent,0.65211,Incongruent,1.2686623
S001,Congruent,0.7178765,Incongruent,0.9012383
S001,Congruent,0.7507301,Incongruent,1.0691457
S001,Congruent,0.7019473,Incongruent,1.1514983
S002,Congruent,1.0158511,Incongruent,nan
S002,Congruent,0.9184596,Incongruent,1.0188261
S002,Congruent,0.9344501,Incongruent,1.2698429
